ADM_CD,사업체수_2022,종사자수_2022,금융기관_2023,유통업체수_2022,대형마트_2022,쇼핑업체수_2022,대학교,기타대학,면적
11210820.0,1330,3061,0,1,0,1,0.0,0.0,2.66
11210830.0,2169,5598,0,1,0,1,0.0,0.0,1.38
11210810.0,1441,3028,0,1,0,1,0.0,0.0,0.96
11220510.0,5415,43292,0,2,0,2,1.0,0.0,1.42
11220520.0,8575,72376,0,3,0,3,0.0,0.0,1.24
11220530.0,11983,91894,0,1,1,0,0.0,0.0,2.93
11220540.0,4216,30827,0,2,0,2,0.0,0.0,0.88
11220550.0,3368,18105,0,1,0,1,0.0,0.0,1.76
11220560.0,248,1098,0,2,0,2,0.0,0.0,1.01
11220570.0,2551,14683,0,1,0,1,0.0,0.0,1.0
11220580.0,508,2350,0,1,0,1,0.0,0.0,1.35
11220590.0,1376,7196,0,3,1,2,0.0,0.0,1.28
11220600.0,4134,29538,0,2,0,2,1.0,0.0,1.43
11220610.0,2400,9854,0,1,0,1,0.0,0.0,0.67
11220620.0,2535,19930,0,0,0,0,0.0,0.0,0.7
11220630.0,2720,16795,0,1,0,1,0.0,0.0,1.93
11220640.0,1926,13604,0,0,0,0,0.0,1.0,2.4
11220650.0,3244,13998,0,1,0,1,0.0,0.0,0.98
11220660.0,5541,46674,0,1,0,1,0.0,0.0,5.76
11220670.0,7752,49915,0,3,2,1,0.0,0.0,7.58
11220680.0,1483,10238,0,0,0,0,0.0,0.0,12.68
11230510.0,5836,28254,0,2,0,2,0.0,0.0,1.89
11230520.0,8251,50525,0,2,0,2,0.0,0.0,1.25
11230530.0,8651,72273,0,5,0,5,0.0,1.0,1.47
11230770.0,5961,36375,0,4,0,4,0.0,0.0,2.53
11230780.0,6669,43440,0,3,0,3,0.0,0.0,2.33
11230580.0,7562,75500,0,1,0,1,0.0,0.0,1.94
11230590.0,6245,48732,0,2,0,2,0.0,0.0,1.24
11230600.0,1380,7865,0,1,0,1,0.0,0.0,0.79
11230790.0,5958,73384,0,2,0,2,0.0,0.0,2.0
11230630.0,5840,33649,0,2,0,2,0.0,0.0,0.73
11230640.0,21199,176802,0,2,1,1,0.0,0.0,2.35
11230650.0,5921,44391,0,0,0,0,0.0,0.0,1.15
11230660.0,2535,18641,0,1,0,1,0.0,0.0,1.02
11230670.0,2827,20777,0,0,0,0,0.0,0.0,1.02
11230680.0,259,1090,0,0,0,0,0.0,0.0,1.27
11230800.0,1336,4154,0,0,0,0,0.0,0.0,2.51
11230511.0,802,10586,0,1,0,1,0.0,0.0,1.24
11230710.0,2844,10958,0,0,0,0,0.0,0.0,1.49
11230760.0,2620,10025,0,0,0,0,0.0,0.0,6.36
11230720.0,737,9847,0,1,0,1,0.0,0.0,2.58
11230730.0,2227,6756,0,2,0,2,0.0,0.0,0.92
